,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
4480,2016-06-06,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SunTrust Banks, Inc.",MD,20743,,,Referral,2016-06-08,Closed with monetary relief,Yes,No,1955334
4481,2013-03-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,IL,60620,,,Referral,2013-03-25,Closed with non-monetary relief,Yes,No,362638
4482,2015-03-01,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,FL,32935,,,Web,2015-04-17,Closed with explanation,Yes,No,1262123
4483,2014-04-23,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,,,"R.M. Galicia, Inc.",CA,92111,,,Web,2014-04-28,Closed with explanation,Yes,No,822210
4484,2016-04-08,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Citibank,NJ,08753,,Consent not provided,Web,2016-04-08,Closed with explanation,Yes,No,1870572
4485,2013-06-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,NV,89118,,,Web,2013-07-02,Closed with explanation,Yes,No,446339
4486,2014-08-10,Consumer Loan,Installment loan,Problems when you are unable to pay,,,,Synchrony Financial,NY,12550,,,Web,2014-08-13,Closed with monetary relief,Yes,No,977032
4487,2013-08-21,Mortgage,Other mortgage,Settlement process and costs,,,,HSBC North America Holdings Inc.,MD,21050,,,Referral,2013-08-22,Closed with explanation,Yes,No,499557
4488,2016-02-06,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,FL,33142,,Consent not provided,Web,2016-02-06,Closed with explanation,Yes,No,1775430
4489,2016-04-26,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SunTrust Banks, Inc.",VA,23838,,Consent not provided,Web,2016-04-26,Closed with non-monetary relief,Yes,No,1897358
4490,2015-09-01,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,"Company continues to call after being asked NOT too, harrasses, uses vulgar language and name calls, impersonates police officers and state authorities, makes false claims about opening criminal cases for not paying debt. Caller has never validated debt by mail or by phone, and will not allow caller to submit identity theft paperwork or police reports to their office. multiple callers will get on the line and shamelessly bash you into the ground. 
",Company believes it acted appropriately as authorized by contract or law,Solidus Group LLC.,NM,871XX,,Consent provided,Web,2015-09-01,Closed with explanation,Yes,No,1547828
4491,2014-09-04,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"Navient Solutions, Inc.",CA,92123,,,Web,2014-09-04,Closed with monetary relief,Yes,No,1015658
4492,2013-08-19,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,"Cavalry Investments, LLC",CA,93635,,,Phone,2013-08-23,Closed with explanation,Yes,No,495724
4493,2016-02-05,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Round Point Mortgage,FL,32789,,Consent not provided,Web,2016-02-05,Closed with explanation,Yes,No,1775406
4494,2012-06-19,Credit card,,Advertising and marketing,,,,Capital One,MD,21030,,,Web,2012-06-21,Closed with explanation,Yes,No,104269
4495,2016-05-12,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"Item is from a dispute with XXXX XXXX XXXX and was originally placed on my credit by XXXX XXXX in XXXX. It has now been placed on my credit by XXXX different credit collection agencies in the past 11 months. XXXX XXXX XXXX XXXX on XXXX XXXX, XXXX and by XXXX XXXX, XXXX XXXX XXXX, XXXX, XXXX on XXXX XXXX, XXXX. 

My husband passed away XXXX XXXX, XXXX. In order to keep my home I desperately need to refinance. I ca n't do that if these collection agencies continue to place this old item onto my credit as if it 's something new!!! PLEASE PLEASE PLEASE make them remove this nonsense from my credit report and STOP!",Company disputes the facts presented in the complaint,"The CMI Group, Inc.",KY,410XX,,Consent provided,Web,2016-05-29,Closed with non-monetary relief,Yes,No,1920933
4496,2015-04-02,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,PA,18640,,Consent not provided,Web,2015-04-06,Closed with non-monetary relief,Yes,No,1314110
4497,2013-05-15,Mortgage,Other mortgage,Settlement process and costs,,,,Fifth Third Financial Corporation,PA,19350,,,Referral,2013-05-16,Closed with monetary relief,Yes,No,407676
4498,2015-07-02,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,Company chooses not to provide a public response,"Account Control Technology, Inc.",PA,15347,,,Referral,2015-07-09,Closed with non-monetary relief,Yes,No,1449001
4499,2014-07-22,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Progressive Financial Services, Inc.",OH,45305,,,Web,2014-08-18,Closed with explanation,Yes,No,947477
4500,2015-11-16,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,CA,94024,Older American,Consent not provided,Web,2015-11-16,Closed with explanation,Yes,No,1656347
4501,2016-02-08,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,"To : OCC From : XXXX XXXX XXXX RE : Short Sale with CitiMortgage Date : XXXX XXXX, XXXX My name is XXXX XXXX XXXX. I am desperate for help, and not sure where to get the help I need. 

In XXXX XXXX, I purchased a home with my mother ( XXXX XXXX XXXX ) as a cosigner. The mortgage company is CitiMortgage ( loan # XXXX ). Doing well the first few years, I struggled in XX/XX/XXXX and then again in XX/XX/XXXX, due to losing my job and health issues. I thought CitiMortgage Loss Mitigation department was helping me, unfortunately the "" re finance '' was more than what I owed on my home, more than what it was worth, and higher monthly payments. 
In XX/XX/XXXX, I had XXXX and was out of work for a while plus IRS placed a tax levy on my payroll. I was having a hard time again with my mortgage payments. I decided to do a short sale, so I would not have a foreclosure. I spoke with a man by the name of XXXX XXXX with CitiMortgage and he told me "" once I had a buyer that CitiMortgage would then work with my realtor ''. 

I then had XXXX XXXX ( XXXX XXXX / short sale specialist ) out to my home and listed my house a short sale. After several offers we had one in XXXX XXXX that was reasonable of XXXX, with earnest money of XXXX down. XXXX XXXX and XXXX XXXX, had the contract with all information needed sent to CitiMortgage. 
It has been a nightmare. After eight months of sending CitiMortgage ( through XXXX XXXX ) all of our bank statements, payroll stubs, hardship letters, my mother 's retirement statements, her bank statements, our XXXX 's and tax records for the last several years. They continue to keep us hanging and waiting for the next step. Every time CitiMortgage wanted more information we would send it. 
Now, CitiMortgage sends us a memo : Good Afternoon XXXX, I trust both you and XXXX are well. This is your regular weekly status update email, in which I regret to report we have crossed the hard stop deadline on liquidation assistance prior to foreclosure ( thanks to the sale date that appeared since your last update, placing the deadline back on XXXX/XXXX/XXXX ). The only options at this stage are to reinstate or payoff the loan ( including legal costs/fees, quotes for which may be obtained directly from XXXX XXXX XXXX XXXX XXXX at XXXX ), or declare other legal debt protection measures. Should I see anything of note this coming week I will contact you as soon as feasibly possible, otherwise you may look forward to your weekly status updates up until XXXX/XXXX/XXXX. Please do not hesitate to jot yourself a note for our regular weekly contact or reply to this email if you have any questions in the interim, and since it 's a new month I would appreciate a quick "" thank you '' to acknowledge receipt of this message. 
Remember, during any point of your treatment review you can reach me at ( XXXX ) XXXX, Ext. XXXX, Monday - Friday XXXX XXXX. - XXXX XXXX. ( CT ), or email me XXXXXXXXXXXX. I look forward to working with you. 
Sincerely, XXXX XXXX XXXX Homeowner Support Specialist ( XXXX ) XXXX, Extension XXXX ( use leading XXXX ). 
CitiMortgage , Inc . 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX, MO XXXX I was shocked. I never knew there was a foreclosure date nor did XXXX XXXX or XXXX XXXX. We did not received weekly status updates from XXXX XXXX. 
Are they doing what the government says "" a lender should provide foreclosure alternatives to us homeowners ''? 

This is unreasonable on CitiMortgage ; selling the home on the door steps of a courthouse may bring XXXX or XXXX XXXX. And they had an offer for XXXX! 
CitiMortgage is not assisting with foreclosure postponement, what are they really doing? We are trying our hardest to do what we can do. However, I could not keep the house any longer. But, I wanted to do what would be best for all, and I feel that Ci 
",Company chooses not to provide a public response,Citibank,GA,301XX,,Consent provided,Web,2016-02-08,Closed with explanation,Yes,No,1778911
4502,2014-10-14,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,City National Bank,CA,91945,Servicemember,,Web,2014-10-14,Closed with explanation,Yes,No,1069304
4503,2014-04-01,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,GM Financial,CA,92220,,,Web,2014-04-01,Closed with explanation,Yes,No,788421
4504,2016-01-25,Credit card,,Identity theft / Fraud / Embezzlement,,,Company chooses not to provide a public response,Citibank,IA,50325,,Consent not provided,Web,2016-01-25,Closed with monetary relief,Yes,No,1757111
4505,2012-10-17,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Navient Solutions, Inc.",IL,61462,,,Web,2012-10-17,Closed with explanation,Yes,No,172962
4506,2014-01-28,Credit reporting,,Incorrect information on credit report,Account terms,,,Experian,VA,23805,,,Web,2014-01-28,Closed with non-monetary relief,Yes,No,688348
4507,2014-09-18,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,KeyBank NA,OH,45420,,,Web,2014-09-24,Closed,Yes,No,1035019
4508,2015-06-03,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,"I was a student at XXXX College XXXX CA, and they closed there doors on XXXX XXXX, 2015. I received a text message indicating the closure. I have student loan with Genesis Lending Services and they will not discharge my loans. I feel that XXXX College is to pay back my loan to the company, after all XXXX is the one that broke the contract. This has caused great pain and suffering, because the reason I attended this college was to better myself in finding a job. Now after two years and three months, and only eight weeks to go, I do n't even have a degree now. I am not liable for this loan and will do what I have to do to get this discharged. I will seek information from an attorney about the steps I need to take. 
",Company believes complaint caused principally by actions of third party outside the control or direction of the company,Genesis Lending,CA,959XX,,Consent provided,Web,2015-06-03,Closed with explanation,Yes,No,1404485
4509,2015-07-02,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,MI,48313,Older American,,Postal mail,2015-07-08,Closed with explanation,Yes,No,1449353
4510,2016-03-23,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I get repeated automated calls from a collection agency for someone else, and they wo n't stop. The phone they are calling on is a business line provided by my employer, and it 's possible the person they 're looking for is a previous employee. However, they wo n't quit. 
",,"Portfolio Recovery Associates, Inc.",CA,907XX,,Consent provided,Web,2016-03-23,Closed with explanation,Yes,No,1845975
4511,2014-12-15,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,NJ,07052,,,Web,2014-12-17,Closed with explanation,Yes,No,1157201
4512,2016-05-24,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,I have paid what my insurance sent in explanation of benefits. the facility itself states I had no further debt. Yet this company has twice tried to get money out of me for XXXX XXXX I had. Now they have made their way to my credit report and are hurting my credit. I am working with my insurance company to dispute these false charges. Ridiculous that I have to waste my time proving I have paid all the medical bills I was given to some company when the hospital itself does not reflect any balance owed and claims to not have any association with this company.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CMRE Financial Services, Inc.",TX,781XX,Servicemember,Consent provided,Web,2016-05-24,Closed with explanation,Yes,No,1939536
4513,2013-06-20,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,VA,23669,Older American,,Postal mail,2013-06-21,Closed with monetary relief,Yes,No,436873
4514,2012-12-03,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,UT,84107,,,Web,2012-12-03,Closed with explanation,Yes,No,202046
4515,2016-02-24,Money transfers,International money transfer,Fraud or scam,,,,The Western Union Company,CA,90011,,,Phone,2016-02-25,Closed with explanation,Yes,No,1801674
4516,2012-03-05,Credit card,,APR or interest rate,,,,JPMorgan Chase & Co.,WA,98052,,,Web,2012-03-06,Closed with relief,Yes,No,29946
4517,2014-01-02,Student loan,Non-federal student loan,Dealing with my lender or servicer,Trouble with how payments are handled,,,"Navient Solutions, Inc.",NY,12211,,,Web,2014-01-02,Closed with explanation,Yes,No,652695
4518,2015-03-27,Credit card,,Other,,,,HSBC North America Holdings Inc.,NY,10701,,,Referral,2015-04-01,Closed with monetary relief,Yes,No,1304097
4519,2016-05-16,Credit card,,Other,,"Citi is issuing a XXXX brand VISA credit card to replace an XXXX XXXX XXXX credit card. I was not asked if I wanted the Citi VISA card or given an opportunity to opt out, either by XXXX or Citi. Citi ran a credit report without my permission and as a result, my XXXX score plummeted.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Citibank,GA,300XX,,Consent provided,Web,2016-05-16,Closed with explanation,Yes,No,1926783
4520,2015-11-06,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,Regions Financial Corporation,GA,30034,,,Referral,2015-11-06,Closed with explanation,Yes,No,1644398
4521,2015-04-13,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Citibank,TN,37206,,,Referral,2015-04-15,Closed with explanation,Yes,No,1327534
4522,2016-05-31,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,CA,913XX,,Other,Web,2016-06-02,Closed with explanation,Yes,No,1946929
4523,2012-11-21,Credit card,,Transaction issue,,,,U.S. Bancorp,WI,53719,,,Referral,2012-11-27,Closed with explanation,Yes,No,195245
4524,2016-02-23,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"The agency is attempting to collect {$2800.00} after the dismissal of a successfully completed Chapter XXXX. 
",,"First Service Residential, Nevada, LLC",MO,640XX,,Consent provided,Web,2016-02-23,Closed with explanation,Yes,No,1798680
4525,2015-05-29,Credit card,,Customer service / Customer relations,,,Company chooses not to provide a public response,Citibank,,,,,Referral,2015-06-02,Closed with explanation,Yes,No,1397876
4526,2014-03-06,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,Ditech Financial LLC,NC,28273,,,Web,2014-03-05,Closed with explanation,Yes,No,746299
4527,2013-01-10,Mortgage,Other mortgage,Credit decision / Underwriting,,,,Wells Fargo & Company,,,,,Referral,2013-01-11,Closed with explanation,Yes,No,226597
4528,2014-12-15,Bank account or service,Checking account,Deposits and withdrawals,,,,U.S. Bancorp,WA,99208,,,Referral,2014-12-16,Closed with monetary relief,Yes,No,1156815
4529,2016-04-29,Credit card,,Customer service / Customer relations,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Synchrony Financial,TX,77429,,Consent not provided,Web,2016-05-04,Closed with monetary relief,Yes,No,1902456
4530,2013-11-04,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Encore Capital Group,TX,77301,,,Postal mail,2013-11-06,Closed with non-monetary relief,Yes,No,583503
4531,2016-06-21,Credit reporting,,Incorrect information on credit report,Information is not mine,XXXX came up on my inquiry 's did not apply for credit through this company or any other company,,Equifax,FL,320XX,,Consent provided,Web,2016-06-21,Closed with explanation,Yes,No,1978087
4532,2013-05-06,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,CA,92011,,,Postal mail,2013-05-07,Closed with explanation,Yes,No,398328
4533,2015-07-08,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,M&T Bank Corporation,DE,19805,,,Phone,2015-07-10,Closed with explanation,Yes,No,1457339
4534,2012-06-12,Credit card,,Late fee,,,,Wells Fargo & Company,OH,44333,,,Web,2012-06-15,Closed with monetary relief,Yes,No,99880
4535,2013-07-18,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,NY,12027,,,Web,2013-07-23,Closed with explanation,Yes,No,473074
4536,2013-05-24,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,PHH Mortgage,NY,10576,Older American,,Web,2013-05-24,Closed with explanation,Yes,No,415570
4537,2013-09-16,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Morgan Stanley,FL,33952,,,Referral,2013-09-18,Closed with monetary relief,Yes,No,529536
4538,2016-02-17,Mortgage,Other mortgage,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Select Portfolio Servicing, Inc",FL,33472,,,Referral,2016-02-22,Closed with explanation,Yes,No,1792079
4539,2015-10-26,Prepaid card,General purpose card,Adding money,,,,"Empowerment Ventures, LLC",NJ,08046,Older American,,Phone,2015-11-13,Closed with monetary relief,Yes,No,1624414
4540,2015-06-02,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,"SunTrust Banks, Inc.",FL,33016,,Other,Web,2015-06-02,Closed with explanation,Yes,No,1401582
4541,2016-01-07,Credit card,,APR or interest rate,,,Company chooses not to provide a public response,Citibank,IN,46311,,Consent not provided,Web,2016-01-07,Closed with monetary relief,Yes,No,1732221
4542,2014-03-03,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,FL,33028,,,Referral,2014-03-04,Closed with explanation,Yes,No,740050
4543,2016-07-14,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Citibank,CA,95132,,Consent not provided,Web,2016-07-14,Closed with non-monetary relief,Yes,No,2010940
4544,2013-02-06,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,AZ,85042,,,Web,2013-08-19,Closed with explanation,Yes,No,305022
4545,2015-07-01,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"My mortgage was bought out from XXXX by carrington. My family had a few bad financial months, and fell behind on our mortgage. I kept in touch with them and tried to make numerous XXXX payments in which they did not put towards my account, it went into a "" holding '' account ( which I did not know ) when I called to make another payment they would not accept unless it was the full balance owed. I started saving money and calling weekly to make sure it would not be foreclosed on so I could pay the full balance. I finally had the total amount due and called to make a payment for my delinquent months. ( I had just spoken to a rep XXXX days prior ). They informed me that my home had already been sent to a foreclosure attorney a week prior. I explained that this could be true because I had just spoken to a rep XXXX days ago and I could make the payment. Long story short after the supervisor listening to her employee tell me all of the wrong information and that I had a few more days to pay and even saying wait till the XXXX month and pay that also -- that I would not be in threat of foreclosure she assured me that her employee did need more training and made a mistake but it would not change the fact that my home was in foreclosure. So now they will not take my payments and I have to pay reinstatement fees even though admitting her employee was wrong and gave false information. Now I am in fear of losing my home all because I relied on the workers to give me accurate information. 
",,"Carrington Mortgage Holdings, LLC.",TN,380XX,,Consent provided,Web,2015-07-01,Closed with explanation,Yes,No,1446575
4546,2015-10-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Bayview Loan Servicing, LLC",NJ,08322,,,Referral,2015-10-23,Closed with explanation,Yes,No,1617811
4547,2012-04-09,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,FL,34205,,,Referral,2012-04-10,Closed without relief,Yes,No,53847
4548,2012-07-23,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,PA,17033,,,Referral,2012-07-31,Closed with explanation,Yes,No,122323
4549,2013-02-27,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Experian,MD,21236,,,Web,2013-02-27,Closed with explanation,Yes,No,336586
4550,2016-07-09,Prepaid card,General purpose card,"Advertising, marketing or disclosures",,,Company believes it acted appropriately as authorized by contract or law,"NetSpend Corporation,  a TSYS Company",OH,45342,,Other,Web,2016-07-11,Closed with explanation,Yes,No,2005106
4551,2015-02-25,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,NH,03105,,,Referral,2015-03-03,Closed with non-monetary relief,Yes,No,1257026
4552,2015-02-09,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,Equifax,VA,23236,Older American,,Web,2015-02-09,Closed with non-monetary relief,Yes,No,1232302
4553,2014-06-23,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Encore Capital Group,CO,81063,,,Web,2014-06-25,Closed with non-monetary relief,Yes,No,906013
4554,2014-04-14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"Shellpoint Partners, LLC",PA,19053,,,Referral,2014-04-23,Closed with explanation,Yes,No,806966
4555,2016-03-23,Bank account or service,Savings account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,IL,62306,Older American,,Postal mail,2016-03-25,Closed with explanation,Yes,No,1846358
4556,2014-04-30,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,CA,90064,,,Fax,2014-05-05,Closed with explanation,Yes,No,831143
4557,2016-06-17,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,IL,60406,,Other,Web,2016-06-20,Closed with explanation,Yes,No,1974565
4558,2015-06-10,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,USAA Savings,NY,10562,Servicemember,,Phone,2015-06-12,Closed with explanation,Yes,No,1414335
4559,2012-11-27,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,92660,,,Referral,2012-11-29,Closed with explanation,No,No,197881
4560,2013-01-23,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,90291,,,Web,2013-09-12,Closed with explanation,Yes,No,257443
4561,2014-07-11,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Collection Bureau of Fort Walton Beach, Inc",FL,32566,"Older American, Servicemember",,Web,2014-07-11,Closed with explanation,Yes,No,934027
4562,2015-03-27,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I first received a phone call from "" XXXX '' at Atlantic Credit and Finance , Inc. '' at my business, which I own, where the gentleman asked for me by first name only. The XXXX phone call attempt from AC & F I was not available to come to the phone, XXXX told my employee that he would wait on the phone until I became available, when my employee refused his offer he said there was no message. XXXX called back a few hours later, at this time I answered the phone. Our conversation began with XXXX telling me that I owed money for a past debt in the amount of over {$3000.00} from the company "" XXXX ''. I responded quickly telling him I have never owned or been billed for a "" XXXX '' credit card and therefore he had to have had the wrong person. That is when he began asking me personal financial information about myself just to "" check '' if he had the right person. He asked me what my address was, what my social security number was, banking information, etc. I refused to answer these questions and told him that if he is trying to collect a past debt from me HE SHOULD HAVE THAT INFORMATION in front of him. He assured me that he did indeed have all of my personal information in front of him and that he was just asking so that he could verify this information. I than asked him to please read to me the, address, social security number, and name of the banking institution he had on file for me, he only gave a false S.S. number before I stopped him and told him once again that HE HAD THE WRONG PERSON. After about a half hour of XXXX trying to "" trick '' information out of me I finally got him to agree that he had the wrong person, he apologized for the inconvenience and we hung up the phone. The next day my company received another phone call from XXXX again. He began the conversation this time the exact way he began it the day before as if we had'nt even spoken with each other before. When I reminded him that he had called me yesterday and I thought that we have resolved the issue, he just ignored me and kept going on with his interrogation for my personal information. This time I told him to please verify where I applied for this "" XXXX '' card, where I made the so called purchases, what address and name was "" XXXX '' sending statements to, in regards to this account. He tried avoiding the questions and it seemed to me that he would pause, as if he was being fed information to repeat back to me. I told him to send me as much information as he had on this account so that I could look into it myself. He told me he could not send any of the information. I told XXXX that I needed to look into this issue more and asked him for his phone number so that I could call him back once I found out more about this issue. 
Once I got off the phone with Atlantic Credit and Finance , Inc. I researched the company online and was able to find out that I was not the first person that has an experience like this with them. I called my Attoroney General 's Office and told them a little bit about the phone call. I gave the Attoroney General 's Office Atlantic Credit and Finance 's company name, address, and phone number and they told me that the company has be dissolved for over four years. 
",Company chooses not to provide a public response,"Atlantic Credit & Finance, Inc.",MO,630XX,,Consent provided,Web,2015-03-27,Closed with non-monetary relief,Yes,No,1304847
4563,2014-12-19,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Portfolio Recovery Associates, Inc.",MN,55121,Older American,,Web,2014-12-23,Closed with explanation,Yes,No,1164135
4564,2014-07-27,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,Credit Acceptance Corporation,MI,48237,,,Web,2014-07-27,Closed with explanation,Yes,No,955884
4565,2014-03-14,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,TX,77051,Older American,,Referral,2014-03-19,Closed with explanation,Yes,No,768009
4566,2014-08-01,Bank account or service,Checking account,Problems caused by my funds being low,,,,BB&T Financial,WV,26519,Servicemember,,Phone,2014-08-05,Closed with explanation,Yes,No,965261
4567,2016-01-28,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,CT,06231,Older American,,Phone,2016-02-02,Closed with explanation,Yes,No,1763280
4568,2015-04-07,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,TX,77581,Older American,Consent not provided,Web,2015-04-07,Closed with explanation,Yes,No,1319058
4569,2015-09-28,Credit reporting,,Incorrect information on credit report,Account status,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",IN,47138,,,Postal mail,2015-10-01,Closed with explanation,Yes,No,1582130
4570,2015-08-17,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Bank of America,FL,33023,,Consent not provided,Web,2015-08-17,Closed with explanation,Yes,No,1521468
4571,2014-07-18,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",GA,30907,,,Postal mail,2014-08-25,Closed with non-monetary relief,Yes,No,943449
4572,2013-04-08,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,The Huntington National Bank,OH,44035,,,Referral,2013-04-17,Closed with explanation,Yes,No,375183
4573,2015-01-27,Mortgage,Other mortgage,Other,,,,Bank of America,FL,34990,,,Postal mail,2015-01-30,Closed with explanation,Yes,No,1211623
4574,2016-04-26,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,"Select Portfolio Servicing, Inc",NV,89178,,,Postal mail,2016-04-26,Closed with explanation,Yes,No,1896836
4575,2016-05-18,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NJ,07869,,,Referral,2016-06-17,Closed with explanation,Yes,No,1931087
4576,2012-04-16,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,BBVA Compass,CA,92081,,,Referral,2012-04-19,Closed without relief,Yes,No,38227
4577,2015-04-14,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,Company chooses not to provide a public response,Experian,NC,27520,Older American,Consent not provided,Web,2015-04-14,Closed with explanation,Yes,No,1330052
4578,2013-12-24,Mortgage,Other mortgage,Other,,,,Capital One,CA,92109,,,Referral,2014-01-03,Closed with explanation,Yes,No,645160
4579,2016-04-26,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,NY,10469,,,Phone,2016-04-26,Closed with explanation,Yes,No,1897681
4580,2014-01-24,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,,,U.S. Bancorp,OR,97203,,,Web,2014-01-23,Closed with explanation,Yes,No,683323
4581,2016-07-06,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Round Point Mortgage,MD,21208,,Consent not provided,Web,2016-07-06,Closed with explanation,Yes,No,2001222
4582,2014-05-12,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,HSBC North America Holdings Inc.,IN,46033,Older American,,Web,2014-05-15,Closed with explanation,Yes,No,848163
